,Player,DRIVEPTS,CSPTS,PULLPTS,PAINTPTS,POSTPTS,ELBOWPTS,DRIVEPTS%,CSPTS%,PULLPTS%,PAINTPTS%,POSTPTS%,ELBOWPTS%
251,Jimmer Fredette,1.7,0.0,0.7,0.0,0.0,0.0,0.5,0.0,0.16699999999999998,0.0,0.0,0.0
252,Jimmy Butler,5.5,2.4,3.9,3.4,0.8,1.2,0.46,0.373,0.34700000000000003,0.701,0.33299999999999996,0.5
253,Joakim Noah,1.0,0.1,0.0,3.8,0.3,1.6,0.486,0.2,0.33299999999999996,0.578,0.316,0.5
254,Jodie Meeks,1.3,2.6,1.4,0.3,0.0,0.5,0.556,0.368,0.625,0.5,0.0,1.0
255,Joe Chealey,2.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
256,Joe Harris,3.6,6.3,1.4,0.9,0.0,0.5,0.48700000000000004,0.486,0.402,0.653,0.0,0.68
257,Joe Ingles,3.7,4.8,2.6,0.3,0.0,0.2,0.5529999999999999,0.39899999999999997,0.37200000000000005,0.667,1.0,0.5
258,Joel Embiid,4.0,4.1,3.1,7.8,6.9,2.3,0.523,0.32299999999999995,0.358,0.639,0.489,0.484
259,John Collins,1.8,3.0,0.4,11.1,1.7,1.9,0.396,0.341,0.324,0.696,0.506,0.5660000000000001
260,John Henson,0.1,2.4,0.0,2.5,0.1,0.3,0.5,0.36700000000000005,0.0,0.63,0.5,0.33299999999999996
261,John Holland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
262,John Jenkins,0.5,2.0,1.9,0.2,0.0,0.2,0.444,0.36,0.42,0.667,0.0,0.75
263,John Wall,9.5,3.6,4.5,0.2,0.0,0.2,0.541,0.361,0.33,0.429,0.0,1.0
264,Johnathan Motley,0.8,0.1,0.0,2.5,0.5,0.6,0.636,0.14300000000000002,0.0,0.636,0.33299999999999996,0.462
265,Johnathan Williams,0.4,0.2,0.0,4.4,0.1,1.5,0.444,0.33299999999999996,0.0,0.597,0.16699999999999998,0.5770000000000001
266,Jon Leuer,0.2,0.6,0.2,2.2,0.4,0.4,0.6,0.33299999999999996,0.5710000000000001,0.75,0.41200000000000003,0.385
267,Jonah Bolden,0.2,2.4,0.0,1.4,0.0,0.5,0.444,0.375,0.14300000000000002,0.75,1.0,0.75
